n_days,date,stock_reward_rate,index_reward_rate
0,2023-12-08,0.0,0.0
1,2023-12-11,0.009826522428235169,0.0073680949366236445
2,2023-12-12,0.022910448730971842,0.01140909764409546
3,2023-12-13,0.012582356589529997,-0.00026940018049802906
4,2023-12-14,0.0017382935932968302,-0.003559449884831478
5,2023-12-15,-0.0034057229659662427,-0.00909225609181158
6,2023-12-18,0.006343836223057242,-0.01305243874513388
7,2023-12-19,0.0152644792317722,-0.012517005886393968
8,2023-12-20,0.0034696759081928336,-0.02271380271824776
9,2023-12-21,0.009600015833769973,-0.01712374897291178
10,2023-12-22,0.01066331800037248,-0.018447177359608744
11,2023-12-25,-0.003474051727289444,-0.017090073950349546
12,2023-12-26,-0.015131634858026297,-0.02380150594700893
13,2023-12-27,-0.012265117451565603,-0.01850442489796462
14,2023-12-28,-0.00443607148110999,-0.005004108352752639
15,2023-12-29,0.00041314207701513496,0.0018083487115936
16,2024-01-02,0.007591527614511289,-0.002451541642532815
17,2024-01-03,0.014600687203280916,-0.0007778930211883059
18,2024-01-04,0.019521501023693894,-0.005121970931720537
19,2024-01-05,0.00407050942447661,-0.013597974110642692
