n_days,date,stock_reward_rate,index_reward_rate
0,2022-12-09,0.0,0.0
1,2022-12-12,-0.02750419187547492,-0.008702973230016014
2,2022-12-13,-0.03952431301907742,-0.009548012909462228
3,2022-12-14,-0.049827975301638114,-0.009485648357473493
4,2022-12-15,-0.047975271516260354,-0.011942811705826324
5,2022-12-16,-0.05322184052572067,-0.012189151686181478
6,2022-12-19,-0.06525733031908346,-0.031129266125134454
7,2022-12-20,-0.07273089366618855,-0.041528555169241754
8,2022-12-21,-0.08401410688436578,-0.0431999251625376
9,2022-12-22,-0.0929745263363436,-0.04755920734654422
10,2022-12-23,-0.0961153425931487,-0.05022841017165841
11,2022-12-26,-0.06195634854414616,-0.04408862002837583
12,2022-12-27,-0.057559809762624,-0.03473081900247889
13,2022-12-28,-0.05566424287034452,-0.03727841095121524
14,2022-12-29,-0.05745153352167981,-0.04155038276243783
15,2022-12-30,-0.0575910741268003,-0.036698420617720766
16,2023-01-03,-0.04113560482748331,-0.02820125040926725
17,2023-01-04,-0.06451164945694676,-0.026015372862065154
18,2023-01-05,-0.05578069209380197,-0.01613059137186424
19,2023-01-06,-0.016936073211348525,-0.015375980292801555
