n_days,date,stock_reward_rate,index_reward_rate
0,2023-06-09,0.0,0.0
1,2023-06-12,-0.021853076348290104,-0.0007984130766445383
2,2023-06-13,-0.0379060171516214,0.0006993850981460781
3,2023-06-14,-0.05243826920229603,-0.0007488990873953082
4,2023-06-15,-0.06160648426508669,0.006675104675667948
5,2023-06-16,-0.04021453502965987,0.012972665183310096
6,2023-06-19,-0.043682790117830994,0.007550883360514479
7,2023-06-20,-0.039618651429881004,0.0027696887736314096
8,2023-06-21,-0.06765825487136458,-0.010370086123394977
9,2023-06-26,-0.09055293932329739,-0.02500146994655583
10,2023-06-27,-0.05708497212122002,-0.012988138304950408
11,2023-06-28,-0.07110604763204226,-0.01300670605091887
12,2023-06-29,-0.07505411720655678,-0.015172943080574656
13,2023-06-30,-0.07479980737897866,-0.00908272240291387
14,2023-07-03,-0.06900452989678135,0.0038899427803962246
15,2023-07-04,-0.06841269721696723,0.004313906313343109
16,2023-07-05,-0.07408410022398675,-0.0026180521815554313
17,2023-07-06,-0.07913214917434822,-0.00799650926375783
18,2023-07-07,-0.08586026390146903,-0.010769292661717247
19,2023-07-10,-0.08103999224767584,-0.00857520401310884
