n_days,date,stock_reward_rate,index_reward_rate
0,2020-12-14,0.0,0.0
1,2020-12-15,-0.006798466061770267,-0.0005609773472004181
2,2020-12-16,-0.015323626974404545,-0.0006351807000047113
3,2020-12-17,0.004659991307654804,0.010611079451013914
4,2020-12-18,-0.004681025173372547,0.007651849741178765
5,2020-12-21,-0.00316155248359711,0.015271050007123603
6,2020-12-22,-0.04437088669701661,-0.0036626774944198163
7,2020-12-23,-0.02448252497814032,0.003917937028066757
8,2020-12-24,-0.03444001370622886,-0.0017838486014151362
9,2020-12-25,-0.029604474860275315,0.008144560003799229
10,2020-12-28,-0.03780249827758467,0.008361233793987769
11,2020-12-29,-0.026148656091399963,0.0029443890392743723
12,2020-12-30,0.005994852565882558,0.013454551930474406
13,2020-12-31,0.030441109232957,0.030853754096025157
14,2021-01-04,0.026613322206487308,0.0397255069573064
15,2021-01-05,0.05762559245547932,0.04735954789381202
16,2021-01-06,0.05147084487791669,0.05394880562283333
17,2021-01-07,0.05404556634412237,0.06146412119485205
18,2021-01-08,0.050708134688706136,0.05965652752053956
