n_days,date,stock_reward_rate,index_reward_rate
0,2021-06-15,0.0,0.0
1,2021-06-16,-0.03451517114164247,-0.010749150864880676
2,2021-06-17,-0.01874053941452437,-0.008705040825966674
3,2021-06-18,-0.001479139684924918,-0.008845626110623759
4,2021-06-21,0.001434834534008311,-0.007698450187821971
5,2021-06-22,-0.003820964621234834,0.00023899498391701787
6,2021-06-23,-0.02568178141884877,0.002716107699574829
7,2021-06-24,-0.012570871580870564,0.0028370110443800035
8,2021-06-25,0.007396570164062652,0.014339699035022605
9,2021-06-28,0.015440746942754848,0.01400510605753873
10,2021-06-29,0.01377225966905377,0.004673054862001454
11,2021-06-30,0.01977821520811278,0.00973974852104277
12,2021-07-01,0.0021886138469408116,0.009059315743302588
13,2021-07-02,-0.040471262557944795,-0.010628247520075502
14,2021-07-05,-0.07777223381086326,-0.006253233461547052
15,2021-07-06,-0.08955706059590686,-0.007394785972962561
16,2021-07-07,-0.06412960139552396,-0.0007985244168522801
17,2021-07-08,-0.06076389795757159,-0.008733157882898065
18,2021-07-09,-0.05793475693369625,-0.009129608385631004
