n_days,date,stock_reward_rate,index_reward_rate
0,2022-06-10,0.0,0.0
1,2022-06-13,0.017419656919449328,-0.008913703296669765
2,2022-06-14,0.020995960872591462,0.0012420734101916773
3,2022-06-15,0.005977824880121683,0.006265164407290462
4,2022-06-16,0.004567553704320428,0.00016743636657001485
5,2022-06-17,0.024700655615789217,0.009729575046501657
6,2022-06-20,0.020569109341433106,0.009315550576437718
7,2022-06-21,0.009714348743070391,0.006663967389484349
8,2022-06-22,0.021262462650558308,-0.005367096622960734
9,2022-06-23,0.0182411984497354,0.010752459031365447
10,2022-06-24,0.030772814377759482,0.01976357985040324
11,2022-06-27,0.04342464379411542,0.028725991908257087
12,2022-06-28,0.049200695146178496,0.03786497322540287
13,2022-06-29,0.016559427527435278,0.023346718095000368
14,2022-06-30,0.021176676723971825,0.03464106209453761
15,2022-07-01,0.03655730127912594,0.03129842335828641
16,2022-07-04,0.03132912194055665,0.03671422874243109
17,2022-07-05,0.03619908548977714,0.0362880270820713
18,2022-07-06,0.007862665181646258,0.021468386491842798
19,2022-07-07,0.0012010032874517768,0.024223475796312188
20,2022-07-08,0.00016498013335360107,0.02169062021474475
