n_days,date,stock_reward_rate,index_reward_rate
0,2021-12-13,0.0,0.0
1,2021-12-14,-0.00844122922183298,-0.005310941354167724
2,2021-12-15,-0.010608939806723913,-0.009087007074010839
3,2021-12-16,-0.004775317472820298,-0.00164625599008985
4,2021-12-17,-0.010014591969300188,-0.013235246177752128
5,2021-12-20,-0.009825964324802018,-0.023764764688623995
6,2021-12-21,-0.0016665877418756648,-0.01519934367087915
7,2021-12-22,-0.0015336561386616416,-0.015881208775685406
8,2021-12-23,0.0049626977771914365,-0.010252425918480386
9,2021-12-24,-0.007918586917016416,-0.01712269225336036
10,2021-12-27,-0.012635774308905291,-0.0176877438143154
11,2021-12-28,-0.0001203545657381044,-0.013846479837438959
12,2021-12-29,-0.025469777871378056,-0.022841122713986094
13,2021-12-30,-0.03291566028805921,-0.0168130005324524
14,2021-12-31,-0.02458499976378955,-0.011219533397807091
15,2022-01-04,-0.0162963369865805,-0.01324339595988134
16,2022-01-05,-0.03841155889699467,-0.02333554282982171
17,2022-01-06,-0.06328733058308723,-0.025807643408999534
18,2022-01-07,-0.06255623269483065,-0.027584295913155914
