n_days,date,stock_reward_rate,index_reward_rate
0,2023-06-12,0.0,0.0
1,2023-06-13,-0.005199180885015035,0.0014989949919940492
2,2023-06-14,-0.00528124785426569,4.9553553454302175e-05
3,2023-06-15,0.011937957115144449,0.007479489474515565
4,2023-06-16,0.018675336830115612,0.013782082054490327
5,2023-06-19,0.019639053197765967,0.008355967951239308
6,2023-06-20,0.009220640311027619,0.00357095294580396
7,2023-06-21,-0.008789398334722922,-0.009579321302143451
8,2023-06-26,-0.0309175282944536,-0.024222396347903123
9,2023-06-27,-0.020997189249761156,-0.012199465441042072
10,2023-06-28,-0.021032883659599218,-0.012218048023587435
11,2023-06-29,-0.025866241155009132,-0.014386015987215128
12,2023-06-30,-0.013683966344481891,-0.008290928912330468
13,2023-07-03,0.002365942005094752,0.004692102092708533
14,2023-07-04,-0.007836282809217159,0.005116404394161347
15,2023-07-05,-0.02008915026586852,-0.001821093089447295
16,2023-07-06,-0.02352631293807919,-0.007203847833425657
17,2023-07-07,-0.025528611727480725,-0.009978846826869114
18,2023-07-10,-0.011977192392295801,-0.007783004989423447
