n_days,date,stock_reward_rate,index_reward_rate
0,2021-12-13,0.0,0.0
1,2021-12-14,-0.01482028697725153,-0.005310941354167724
2,2021-12-15,-0.02016944251788919,-0.009087007074010839
3,2021-12-16,-0.021379517664356834,-0.00164625599008985
4,2021-12-17,-0.037296557117705964,-0.013235246177752128
5,2021-12-20,-0.05224547464348993,-0.023764764688623995
6,2021-12-21,-0.049219158234861816,-0.01519934367087915
7,2021-12-22,-0.058233015262930427,-0.015881208775685406
8,2021-12-23,-0.053400134550678574,-0.010252425918480386
9,2021-12-24,-0.06231219689445724,-0.01712269225336036
10,2021-12-27,-0.0673079860841173,-0.0176877438143154
11,2021-12-28,-0.05767626549667368,-0.013846479837438959
12,2021-12-29,-0.06572811244805268,-0.022841122713986094
13,2021-12-30,-0.06638661738144706,-0.0168130005324524
14,2021-12-31,-0.06240696093853898,-0.011219533397807091
15,2022-01-04,-0.08273072244846844,-0.01324339595988134
16,2022-01-05,-0.10391732826858392,-0.02333554282982171
17,2022-01-06,-0.10205948333334645,-0.025807643408999534
18,2022-01-07,-0.10889284820219751,-0.027584295913155914
