n_days,date,stock_reward_rate,index_reward_rate
0,2023-12-11,0.0,0.0
1,2023-12-12,-0.006324326287477506,0.004011445992565453
2,2023-12-13,-0.02252966940354765,-0.007581632925948652
3,2023-12-14,-0.031503698779702646,-0.010847618538229171
4,2023-12-15,-0.03935930216633734,-0.016339956676383317
5,2023-12-18,-0.04428115148577933,-0.02027117374909738
6,2023-12-19,-0.05037202229380656,-0.019739657155082562
7,2023-12-20,-0.061326767158179155,-0.029861872542989304
8,2023-12-21,-0.05868709164725717,-0.024312705586607124
9,2023-12-22,-0.06146316724539291,-0.025626454149172254
10,2023-12-25,-0.06360880433783855,-0.024279276870002444
11,2023-12-26,-0.07558327114724248,-0.03094162008932151
12,2023-12-27,-0.06955492061710052,-0.02568328296740029
13,2023-12-28,-0.056240553461090526,-0.012281710480571308
14,2023-12-29,-0.0474488064848748,-0.005519081111438042
15,2024-01-02,-0.05148150132594284,-0.009747813761934003
16,2024-01-03,-0.05276380511575248,-0.008086406546679878
17,2024-01-04,-0.05823930702595942,-0.01239871098868777
18,2024-01-05,-0.07134571780183357,-0.020812718958093834
