n_days,date,stock_reward_rate,index_reward_rate
0,2024-06-17,0.0,0.0
1,2024-06-18,0.0029712732940175134,0.004761446869746618
2,2024-06-19,-0.006115990982068224,0.0007162064929424844
3,2024-06-20,-0.011309665984572385,-0.003464980486688778
4,2024-06-21,-0.004169797232082769,-0.005885493171170036
5,2024-06-24,-0.023038443827938036,-0.017503954056679774
6,2024-06-25,-0.0304315112563577,-0.021847613805543266
7,2024-06-26,-0.025578000277649747,-0.014377182191658075
8,2024-06-27,-0.040910245443386124,-0.023223658687816853
9,2024-06-28,-0.03204615889191463,-0.016078172612396267
10,2024-07-01,-0.019643327993658786,-0.007016171014194767
11,2024-07-02,-0.026655614294261373,-0.006260175271644408
12,2024-07-03,-0.03693746703569918,-0.011111147953008818
13,2024-07-04,-0.045284343332980787,-0.019337575309444216
14,2024-07-05,-0.03824282400891155,-0.021870824201147932
15,2024-07-08,-0.04686588620197368,-0.030982562361359354
16,2024-07-09,-0.02696395223756395,-0.018740736565325652
17,2024-07-10,-0.03127186932888179,-0.025375593937444586
18,2024-07-11,-0.02180704135838242,-0.015086757142999247
19,2024-07-12,-0.02806740390369601,-0.01478502200013916
