n_days,date,stock_reward_rate,index_reward_rate
0,2022-06-13,0.0,0.0
1,2022-06-14,0.014043559906921356,0.010247116462655978
2,2022-06-15,0.005079108034998857,0.015315384497243067
3,2022-06-16,0.004827500633239203,0.009162814271014091
4,2022-06-17,0.028209632131278146,0.018810953602309832
5,2022-06-20,0.02560334022319692,0.018393205449155948
6,2022-06-21,0.013762841419452764,0.0157177742624133
7,2022-06-22,0.0024952361041080955,0.0035785044001780454
8,2022-06-23,0.015977697364378325,0.019843037274807608
9,2022-06-24,0.0263248368313733,0.028935202961097146
10,2022-06-27,0.03610984759944554,0.03797822180583922
11,2022-06-28,0.059003889282715334,0.047199397951191
12,2022-06-29,0.0304651197588947,0.03255056749243593
13,2022-06-30,0.05021899529683116,0.04394649137626506
14,2022-07-01,0.04823718506632349,0.040573789375067094
15,2022-07-04,0.06025459179500997,0.046038303819630984
16,2022-07-05,0.06595198611086554,0.045608268956090374
17,2022-07-06,0.048954887510605664,0.03065534241526001
18,2022-07-07,0.06286348116992445,0.03343521064029117
19,2022-07-08,0.039047447571500284,0.030879574879820536
