600519,0.126216
601318,0.075482
600036,0.05924
600900,0.044021
600030,0.039529
601166,0.034571
601899,0.034059
600276,0.029811
601398,0.02839
601328,0.026525
600887,0.02396
688981,0.02342
601288,0.02022
600309,0.01843
601088,0.01736
603259,0.01667
601668,0.01639
688041,0.01541
601601,0.01528
601012,0.01477
600690,0.01412
601988,0.01391
600031,0.01368
601728,0.01323
600809,0.01309
600406,0.01306
600050,0.01294
688012,0.01269
600941,0.01265
600028,0.01223
601857,0.012
601225,0.01193
601985,0.01173
601919,0.01142
603501,0.01106
601766,0.01072
600150,0.0104
603288,0.00992
600438,0.00977
600048,0.00969
601816,0.00926
601628,0.00924
601127,0.00905
688111,0.00897
601888,0.00894
601390,0.00867
601658,0.00775
688256,0.00753
603993,0.00631
601633,0.00429
